Date,Close,Open,High,Low,Volume
2020-01-31,55.990206643680885,55.43030457724407,57.669912842991316,54.310500444370454,89549959
2020-02-29,53.49669680527011,52.96172983721741,55.10159770942822,51.891795901112005,54118561
2020-03-31,48.88690232106137,48.39803329785076,50.35350939069321,47.42029525142953,60793927
2020-04-30,64.29514841822272,63.6521969340405,66.22400287076941,62.36629396567604,36711549
2020-05-31,86.0665523875993,85.20588686372331,88.64854895922728,83.48455581597132,26055846
2020-06-30,99.8455303604282,98.84707505682391,102.84089627124105,96.85016444961535,79249772
2020-07-31,114.10608093983868,112.9650201304403,117.52926336803384,110.68289851164351,30036808
2020-08-31,140.76703918333948,139.35936879150609,144.99005035883965,136.5440280078393,58247265
2020-09-30,152.2007401682866,150.67873276660373,156.76676237333518,147.634717963238,36930449
2020-10-31,173.73288973891542,171.99556084152627,178.9448764310829,168.52090304674795,29301054
2020-11-30,171.29024420436735,169.57734176232367,176.42895153049838,166.15153687823633,29586091
2020-12-31,191.17562524371266,189.26386899127553,196.91089400102405,185.44035648640127,92820044
2021-01-31,233.92978354266404,231.5904857072374,240.94767704894397,226.9118900363841,59186716
2021-02-28,222.92235210390854,220.69312858286946,229.6100226670258,216.23468154079129,61193207
2021-03-31,234.24961808428418,231.90712190344132,241.27710662681272,227.22212954175563,92423058
2021-04-30,225.9089223406125,223.64983311720636,232.68619001083087,219.1316546703941,71256615
2021-05-31,260.8588369634339,258.25024859379954,268.6846020723369,253.03307185453085,99885632
2021-06-30,254.9843509405925,252.43450743118657,262.6338814688103,247.3348204123747,30174173
2021-07-31,257.2430703697404,254.670639666043,264.9603624808326,249.5257782586482,88415600
2021-08-31,246.02739987800214,243.56712587922212,253.40822187434222,238.64657788166207,61110497
2021-09-30,241.67888551615894,239.26209666099734,248.9292520816437,234.42851895067417,95083034
2021-10-31,257.16570587951026,254.59404882071516,264.88067705589555,249.45073470312494,79079893
2021-11-30,249.0530234551552,246.56249322060364,256.52461415880987,241.58143275150053,81441868
2021-12-31,262.01379394124257,259.39365600183015,269.8742077594799,254.1533801230053,50650362
2022-01-31,254.73011408796964,252.18281294708993,262.3720175106087,247.08821066533054,33695053
2022-02-28,254.29359614214934,251.75066018072783,261.9224040264138,246.66478825788485,28557665
2022-03-31,230.61481569971184,228.30866754271472,237.53326017070322,223.69637122872047,75192693
2022-04-30,208.89618055492753,206.80721874937825,215.16306597157535,202.6292951382797,99643674
2022-05-31,227.67430852676992,225.39756544150222,234.504537782573,220.84407927096683,66138745
2022-06-30,213.3232324679013,211.19000014322228,219.72292944193836,206.92353549386425,28539677
2022-07-31,196.61583252074857,194.64967419554108,202.51430749637103,190.7173575451261,67398738
2022-08-31,179.732542830361,177.9352174020574,185.12451911527185,174.34056654545017,38125249
2022-09-30,177.9378926398724,176.15851371347367,183.27602941906855,172.59975586067623,27005827
2022-10-31,162.195724392833,160.57376714890466,167.061596124618,157.329852661048,45949536
2022-11-30,161.0739046469695,159.46316560049982,165.9061217863786,156.2416875075604,34405382
2022-12-31,138.07065876663327,136.68995217896693,142.21277852963226,133.92853900363428,54620371
2023-01-31,143.9615917880607,142.52197587018009,148.28043954170252,139.64274403441888,39584132
2023-02-28,164.5578583778936,162.91227979411468,169.49459412923042,159.6211226265568,62277023
2023-03-31,176.53414477186845,174.76880332414976,181.83016911502452,171.2381204287124,43344928
2023-04-30,194.23452485541557,192.29217960686142,200.06156060107804,188.4074891097531,65051837
2023-05-31,205.6968107852502,203.6398426773977,211.86771510880772,199.52590646169267,35152902
2023-06-30,212.8881795972485,210.759297801276,219.27482498516596,206.50153420933103,46967722
2023-07-31,234.76953347778456,232.4218381430067,241.8126194821181,227.72644747345103,75443089
2023-08-31,233.9289809153447,231.58969110619125,240.94685034280505,226.91111148788437,29067197
2023-09-30,254.6199213211672,252.07372210795552,262.25851896080223,246.9813236815322,53679687
2023-10-31,270.37280246249355,267.66907443786863,278.4839865363684,262.26161838861873,57513510
2023-11-30,298.090218138673,295.10931595728624,307.0329246828332,289.14751159451276,49760516
2023-12-31,292.342811566252,289.41938345058946,301.1130959132396,283.57252721926443,23322847
2024-01-31,515.3185406277322,510.1653552214549,530.7780968465642,499.8589844089002,73667264
2024-02-29,551.0981569201572,545.5871753509556,567.631101627762,534.5652122125524,97411209
2024-03-31,570.3355933908239,564.6322374569156,587.4456611925486,553.2255255890991,53618725
2024-04-30,612.7673506927458,606.6396771858184,631.1503712135282,594.3843301719635,74439077
2024-05-31,602.7761737295737,596.748411992278,620.8594589414608,584.6928885176865,79799720
2024-06-30,618.7887588169802,612.6008712288104,637.3524215814897,600.2250960524708,46161504
2024-07-31,648.3485551205479,641.8650695693424,667.7990117741643,628.8980984669314,74000000
2024-08-31,655.8384195027079,649.2800353076808,675.5135720877892,636.1632669176266,85509218
2024-09-30,723.6474060549632,716.4109319944135,745.3568282366122,701.9379838733142,92200333
2024-10-31,752.5543571778873,745.0288136061084,775.1309878932238,729.9777264625507,75748574
2024-11-30,752.7327952314064,745.2054672790923,775.3147790883486,730.1508113744642,84263230
2024-12-31,775.6367589224343,767.8803913332099,798.9058616901074,752.3676561547612,92868791
2025-01-31,761.3572595281369,753.7436869328554,784.197977313981,738.5165417422927,36270954
2025-02-28,780.28833259743,772.4854492714556,803.6969825753529,756.8796826195071,90517167
2025-03-31,790.4970195768018,782.5920493810338,814.2119301641059,766.7821089894977,20172247
2025-04-30,857.4948299815127,848.9198816816976,883.2196748809581,831.7699850820673,92752441
2025-05-31,815.1752601191463,807.0235075179548,839.6305179227207,790.7200023155718,76980561
2025-06-30,869.5464728344051,860.851008106061,895.6328670194373,843.4600786493729,94820849
2025-07-31,926.7965091293728,917.5285440380791,954.600404403254,898.9926138554916,84725605
2025-08-31,892.1783842575508,883.2566004149752,918.9437357852773,865.4130327298242,23414585
2025-09-30,908.3096837287112,899.2265868914241,935.5589742405725,881.0603932168499,89045942
2025-10-31,886.5549187588807,877.6893695712919,913.1515663216471,859.9582711961143,36631068
